pid,grp,duration,entry,exit,num,ind
10,inactive,5,0,27,6294,2
10,wait,0,0,27,6294,2
10,vac,7,0,27,6294,2
10,obs,15,0,27,6294,2
10,finish,-99,0,27,6294,2
11,inactive,5,0,28,6294,2
11,wait,0,0,28,6294,2
11,vac,8,0,28,6294,2
11,obs,15,0,28,6294,2
11,finish,-99,0,28,6294,2
13,inactive,5,0,22,6294,2
13,wait,0,0,22,6294,2
13,vac,2,0,22,6294,2
13,obs,15,0,22,6294,2
13,finish,-99,0,22,6294,2
17,inactive,5,0,27,6294,2
17,wait,0,0,27,6294,2
17,vac,7,0,27,6294,2
17,obs,15,0,27,6294,2
17,finish,-99,0,27,6294,2
18,inactive,5,0,24,6294,2
18,wait,0,0,24,6294,2
18,vac,4,0,24,6294,2
18,obs,15,0,24,6294,2
18,finish,-99,0,24,6294,2
32,inactive,5,0,24,6294,2
32,wait,0,0,24,6294,2
32,vac,4,0,24,6294,2
32,obs,15,0,24,6294,2
32,finish,-99,0,24,6294,2
38,inactive,5,0,24,6294,2
38,wait,0,0,24,6294,2
38,vac,4,0,24,6294,2
38,obs,15,0,24,6294,2
38,finish,-99,0,24,6294,2
43,inactive,5,0,27,6294,2
43,wait,0,0,27,6294,2
43,vac,7,0,27,6294,2
43,obs,15,0,27,6294,2
43,finish,-99,0,27,6294,2
53,inactive,5,0,27,6294,2
53,wait,0,0,27,6294,2
53,vac,7,0,27,6294,2
53,obs,15,0,27,6294,2
53,finish,-99,0,27,6294,2
56,inactive,6,1,43,6294,2
56,wait,16,1,43,6294,2
56,vac,6,1,43,6294,2
56,obs,15,1,43,6294,2
56,finish,-99,1,43,6294,2
58,inactive,5,0,25,6294,2
58,wait,0,0,25,6294,2
58,vac,5,0,25,6294,2
58,obs,15,0,25,6294,2
58,finish,-99,0,25,6294,2
60,inactive,5,0,24,6294,2
60,wait,1,0,24,6294,2
60,vac,3,0,24,6294,2
60,obs,15,0,24,6294,2
60,finish,-99,0,24,6294,2
65,inactive,5,0,24,6294,2
65,wait,2,0,24,6294,2
65,vac,2,0,24,6294,2
65,obs,15,0,24,6294,2
65,finish,-99,0,24,6294,2
68,inactive,14,9,54,6294,2
68,wait,20,9,54,6294,2
68,vac,5,9,54,6294,2
68,obs,15,9,54,6294,2
68,finish,-99,9,54,6294,2
80,inactive,5,0,31,6294,2
80,wait,4,0,31,6294,2
80,vac,7,0,31,6294,2
80,obs,15,0,31,6294,2
80,finish,-99,0,31,6294,2
88,inactive,5,0,28,6294,1
88,wait,4,0,28,6294,1
88,vac,4,0,28,6294,1
88,obs,15,0,28,6294,1
88,finish,-99,0,28,6294,1
91,inactive,5,0,28,6294,1
91,wait,5,0,28,6294,1
91,vac,3,0,28,6294,1
91,obs,15,0,28,6294,1
91,finish,-99,0,28,6294,1
97,inactive,5,0,29,6294,2
97,wait,5,0,29,6294,2
97,vac,4,0,29,6294,2
97,obs,15,0,29,6294,2
97,finish,-99,0,29,6294,2
98,inactive,9,4,45,6294,2
98,wait,18,4,45,6294,2
98,vac,3,4,45,6294,2
98,obs,15,4,45,6294,2
98,finish,-99,4,45,6294,2
109,inactive,5,0,32,6294,2
109,wait,6,0,32,6294,2
109,vac,6,0,32,6294,2
109,obs,15,0,32,6294,2
109,finish,-99,0,32,6294,2
118,inactive,5,0,33,6294,1
118,wait,7,0,33,6294,1
118,vac,6,0,33,6294,1
118,obs,15,0,33,6294,1
118,finish,-99,0,33,6294,1
131,inactive,10,5,53,6294,2
131,wait,18,5,53,6294,2
131,vac,10,5,53,6294,2
131,obs,15,5,53,6294,2
131,finish,-99,5,53,6294,2
134,inactive,7,2,44,6294,2
134,wait,17,2,44,6294,2
134,vac,5,2,44,6294,2
134,obs,15,2,44,6294,2
134,finish,-99,2,44,6294,2
145,inactive,5,0,35,6294,2
145,wait,9,0,35,6294,2
145,vac,6,0,35,6294,2
145,obs,15,0,35,6294,2
145,finish,-99,0,35,6294,2
146,inactive,5,0,34,6294,1
146,wait,9,0,34,6294,1
146,vac,5,0,34,6294,1
146,obs,15,0,34,6294,1
146,finish,-99,0,34,6294,1
147,inactive,17,12,61,6294,2
147,wait,21,12,61,6294,2
147,vac,8,12,61,6294,2
147,obs,15,12,61,6294,2
147,finish,-99,12,61,6294,2
149,inactive,5,0,33,6294,2
149,wait,9,0,33,6294,2
149,vac,4,0,33,6294,2
149,obs,15,0,33,6294,2
149,finish,-99,0,33,6294,2
150,inactive,5,0,40,6294,2
150,wait,9,0,40,6294,2
150,vac,11,0,40,6294,2
150,obs,15,0,40,6294,2
150,finish,-99,0,40,6294,2
152,inactive,5,0,35,6294,2
152,wait,9,0,35,6294,2
152,vac,6,0,35,6294,2
152,obs,15,0,35,6294,2
152,finish,-99,0,35,6294,2
160,inactive,5,0,33,6294,2
160,wait,10,0,33,6294,2
160,vac,3,0,33,6294,2
160,obs,15,0,33,6294,2
160,finish,-99,0,33,6294,2
168,inactive,5,0,37,6294,2
168,wait,11,0,37,6294,2
168,vac,6,0,37,6294,2
168,obs,15,0,37,6294,2
168,finish,-99,0,37,6294,2
170,inactive,15,10,56,6294,2
170,wait,20,10,56,6294,2
170,vac,6,10,56,6294,2
170,obs,15,10,56,6294,2
170,finish,-99,10,56,6294,2
171,inactive,17,12,62,6294,2
171,wait,21,12,62,6294,2
171,vac,9,12,62,6294,2
171,obs,15,12,62,6294,2
171,finish,-99,12,62,6294,2
172,inactive,5,0,36,6294,2
172,wait,11,0,36,6294,2
172,vac,5,0,36,6294,2
172,obs,15,0,36,6294,2
172,finish,-99,0,36,6294,2
178,inactive,30,25,80,6294,2
178,wait,28,25,80,6294,2
178,vac,7,25,80,6294,2
178,obs,15,25,80,6294,2
178,finish,-99,25,80,6294,2
180,inactive,5,0,38,6294,2
180,wait,11,0,38,6294,2
180,vac,7,0,38,6294,2
180,obs,15,0,38,6294,2
180,finish,-99,0,38,6294,2
181,inactive,5,0,33,6294,2
181,wait,12,0,33,6294,2
181,vac,1,0,33,6294,2
181,obs,15,0,33,6294,2
181,finish,-99,0,33,6294,2
188,inactive,5,0,40,6294,2
188,wait,12,0,40,6294,2
188,vac,8,0,40,6294,2
188,obs,15,0,40,6294,2
188,finish,-99,0,40,6294,2
197,inactive,6,1,42,6294,2
197,wait,17,1,42,6294,2
197,vac,4,1,42,6294,2
197,obs,15,1,42,6294,2
197,finish,-99,1,42,6294,2
200,inactive,5,0,39,6294,2
200,wait,13,0,39,6294,2
200,vac,6,0,39,6294,2
200,obs,15,0,39,6294,2
200,finish,-99,0,39,6294,2
201,inactive,5,0,40,6294,2
201,wait,13,0,40,6294,2
201,vac,7,0,40,6294,2
201,obs,15,0,40,6294,2
201,finish,-99,0,40,6294,2
203,inactive,5,0,39,6294,2
203,wait,13,0,39,6294,2
203,vac,6,0,39,6294,2
203,obs,15,0,39,6294,2
203,finish,-99,0,39,6294,2
212,inactive,11,6,50,6294,2
212,wait,19,6,50,6294,2
212,vac,5,6,50,6294,2
212,obs,15,6,50,6294,2
212,finish,-99,6,50,6294,2
214,inactive,5,0,38,6294,2
214,wait,14,0,38,6294,2
214,vac,4,0,38,6294,2
214,obs,15,0,38,6294,2
